word,part_of_speech,definition,example_sentence,example_hint,api_phonetic,api_phonetics,api_audio,api_partOfSpeech,api_definitions,api_synonyms,api_antonyms
venerate,v.,to regard with respect or to honor,"The tribute to John Lennon sought to venerate his music, his words, and his legend.","The tribute to John Lennon sought to ________ his music, his words, and his legend.",/ˈvɛnəɹeɪt/,/ˈvɛnəɹeɪt/; /ˈvɛnəɹeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/venerate-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/venerate-us.mp3,verb,To treat with great respect and deference.; To revere or hold in awe.,,
veracity,n.,"truthfulness, accuracy","With several agencies regulating the reports, it was difficult for Latifah to argue against its veracity.","With several agencies regulating the reports, it was difficult for Latifah to argue against its ________.",/vəˈɹæ.sɪ.ti/,/vəˈɹæ.sɪ.ti/; /vəˈɹæ.sə.ti/,,noun,(of a person) The quality of speaking or stating the truth; truthfulness.; Something that is true; a truthful statement; a truth.; Agreement with the facts; accordance with the truth; accuracy or precision.; Act of being exact and accurate.; Correctness and carefulness in one's plan of action.,,
verbose,adj.,"wordy, impaired by wordiness","It took the verbose teacher two hours to explain the topic, while it should have taken only fifteen minutes.","It took the _______ teacher two hours to explain the topic, while it should have taken only fifteen minutes.",/vəˈbəʊs/,/vəˈbəʊs/; /və˞ˈboʊs/,https://api.dictionaryapi.dev/media/pronunciations/en/verbose-us.mp3,adjective,"Abounding in words, containing more words than necessary; long-winded.; Producing unusually detailed output for diagnostic purposes.",,
verdant,adj.,green in tint or color,The verdant leaves on the trees made the world look emerald.,The _______ leaves on the trees made the world look emerald.,/ˈvɝ.dənt/,/ˈvɝ.dənt/,https://api.dictionaryapi.dev/media/pronunciations/en/verdant-us.mp3,adjective,Green in colour.; Abundant in verdure; lush with vegetation.; Fresh.; Inexperienced.,,
vestige,n.,a mark or trace of something lost or vanished,Do you know if the Mexican tortilla is a vestige of some form of Aztec corn-based flat bread?,Do you know if the Mexican tortilla is a _______ of some form of Aztec corn-based flat bread?,/ˈvɛ.stɪd͡ʒ/,/ˈvɛ.stɪd͡ʒ/,,noun,"The mark of the foot left on the earth.; (by extension) A faint mark or visible sign left by something which is lost, or has perished, or is no longer present.; A vestigial organ; a non-functional organ or body part that was once functional in an evolutionary ancestor.",sign; footstep; remains; track; trace,
vex,v.,to confuse or annoy,My little brother vexes me by poking me in the ribs for hours on end.,My little brother ___es me by poking me in the ribs for hours on end.,/vɛks/,/vɛks/; /vɛks/,https://api.dictionaryapi.dev/media/pronunciations/en/vex-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/vex-us.mp3,noun; verb,"A trouble.; To trouble aggressively, to harass.; To annoy, irritate.; To cause (mental) suffering to; to distress.; To twist, to weave.; To be irritated; to fret.; To toss back and forth; to agitate; to disquiet.",,
vicarious,adj.,experiencing through another,All of my lame friends learned to be social through vicarious involvement in my amazing experiences.,All of my lame friends learned to be social through _________ involvement in my amazing experiences.,,/vɪˈkɛəɹi.əs/; /vaɪˈkɛ(ə)ɹi.əs/,https://api.dictionaryapi.dev/media/pronunciations/en/vicarious-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/vicarious-us.mp3,adjective,"Delegated.; Experienced or gained by taking in another person’s experience, rather than through first-hand experience, such as through watching or reading.; On behalf of others.",,
vicissitude,n.,event that occurs by chance,The vicissitudes of daily life prevent me from predicting what might happen from one day to the next.,The ___________s of daily life prevent me from predicting what might happen from one day to the next.,[vaɪˈsɪs.ɨˌt(j)u(ː)d],[vaɪˈsɪs.ɨˌt(j)u(ː)d]; [vaɪˈsɪs.ɨˌt(j)u(ː)d],https://api.dictionaryapi.dev/media/pronunciations/en/vicissitude-uk.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/vicissitude-us.mp3,noun,"Regular change or succession from one thing to another, or one part of a cycle to the next; alternation; mutual succession; interchange.; (often in the plural) A change, especially in one's life or fortunes.",ups and downs,
vigilant,adj.,"watchful, alert","The guards remained vigilant throughout the night, but the enemy never launched the expected attack.","The guards remained ________ throughout the night, but the enemy never launched the expected attack.",/ˈvɪdʒɪlənt/,/ˈvɪdʒɪlənt/,https://api.dictionaryapi.dev/media/pronunciations/en/vigilant-uk.mp3,adjective,"Watchful, especially for danger or disorder; alert; wary",,
vilify,v.,"to lower in importance, defame","After the Watergate scandal, almost any story written about President Nixon sought to vilify him and criticize his behavior.","After the Watergate scandal, almost any story written about President Nixon sought to ______ him and criticize his behavior.",/ˈvɪl.ɪ.faɪ/,/ˈvɪl.ɪ.faɪ/; /ˈvɪl.ɪ.faɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/vilify-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/vilify-us.mp3,verb,To say defamatory things about someone or something; to speak ill of.; To belittle through speech; to put down.,berate; criticize; libel; run down; demonize; slander; denounce; assail; revile; abuse; decry; denigrate,praise; glorify
vindicate,v.,to avenge; to free from allegation; to set free,The attorney had no chance of vindicating the defendant with all of the strong evidence presented by the state.,The attorney had no chance of vindicating the defendant with all of the strong evidence presented by the state.,,,,,,,
vindictive,adj.,vengeful,"The vindictive madman seeks to exact vengeance for any insult that he perceives is directed at him, no matter how small.","The __________ madman seeks to exact vengeance for any insult that he perceives is directed at him, no matter how small.",,,,,,,
virtuoso,n.,one who excels in an art; a highly skilled musical performer  W SAT Vocabulary,"Even though Lydia has studied piano for many years, she’s only average at it. She’s no virtuoso, that’s for sure.","Even though Lydia has studied piano for many years, she’s only average at it. She’s no ________, that’s for sure.",,,,,,,
viscous,adj.,"not free flowing, syrupy",The viscous syrup took three minutes to pour out of the bottle.,The _______ syrup took three minutes to pour out of the bottle.,,,,,,,
vitriolic,adj.,having a caustic quality,"When angry, the woman would spew vitriolic insults.","When angry, the woman would spew _________ insults.",,,,,,,
vituperate,v.,to berate,"Jack ran away as soon as his father found out, knowing he would be vituperated for his unseemly behavior.","Jack ran away as soon as his father found out, knowing he would be __________d for his unseemly behavior.",,,,,,,
vivacious,adj.,"lively, sprightly",The vivacious clown makes all of the children laugh and giggle with his friendly antics.,The _________ clown makes all of the children laugh and giggle with his friendly antics.,,,,,,,
vocation,n.,"the work in which someone is employed, profession","After growing tired of the superficial world of high-fashion, Edwina decided to devote herself to a new vocation: social work.","After growing tired of the superficial world of high-fashion, Edwina decided to devote herself to a new ________: social work.",,,,,,,
vociferous,adj.,"loud, boisterous  W",I’m tired of his vociferous whining so I’m breaking up with him.,I’m tired of his __________ whining so I’m breaking up with him.,,,,,,,
wallow,v.,to roll oneself indolently; to become or remain helpless,My roommate can’t get over her breakup with her boyfriend and now just wallows in self-pity.,My roommate can’t get over her breakup with her boyfriend and now just ______s in self-pity.,,,,,,,
wane,v.,"to decrease in size, dwindle",Don’t be so afraid of his wrath because his influence with the president is already beginning to wane.,Don’t be so afraid of his wrath because his influence with the president is already beginning to ____.,,,,,,,
wanton,adj.,"undisciplined, lewd, lustful",Vicky’s wanton demeanor often made the frat guys next door very excited.,Vicky’s ______ demeanor often made the frat guys next door very excited.,,,,,,,
